tips,ll
"Good place to spend the night. Nice and clean prefabricated bathrooms, wooden floors are visibly clean and easier to keep germs away. Tv has hdmi in and usb charging port. Free WiFi is limited.","51.5034877007,-0.220413084845"
Port should be decanted,"51.4951829345,-0.144520816555"
"There is lots of seating at this Starbucks, the staff are friendly and the atmosphere is relaxed. There are charging ports so it's the perfect place to spend an afternoon working.","51.558689,-0.281994"
"Great Place , nice staff , swordfish and scallops superb . Wine and Vintage Port delicious .. Dessert delice","51.47219,-0.202918"
"Had an amazing evening here, excellent wine and port selection, good food, exceptional service. But, best to visit in summer (cool balcony seats)","51.4552337768,-0.303318170983"
No port here.,"51.5162708505,-0.176580780467"
Your first port of call if you fancy out-of-this world frames!! Been an addict for 3 years already ..  ed,"51.5179766108,-0.203772783279"
Watch Port Vale hammer the Bees!,"51.6461994662,-0.191745758057"
Rodney is the man.,"51.5031647772,0.0506221556187"
Worst and slowest customer service ever!! A queue of 25 people - single customer processing time is 30 mins,"51.5031221738,0.0504311480612"
"Good prices, upgraded me from an Astra to a nice DS5 & happy to rent to <1 year drivers (& Aussie P platers). Thanks guys!","51.562867212,0.0928299053703"
Inside the main hall between N2 and N3,"51.5093034931,0.0294539621454"
If you try to pick up before 8 they have to charge you extra,"51.4583047099,-0.00158652663231"
Congratulations to Sixt for being short-listed for the Holiday Extras Customers’ Awards 2012 in the Best Car Hire Company Category.,"51.5364273634,-0.0232400865053"
"This is a very exclusive place, you cannot get in unless you're on the list and there are only 3, maybe 4, on the list. Beautiful views!","51.5071040373,0.0719917784255"
Stuck in a timewarp. And not in a good way.,"51.4923398441,0.272151797725"
The road its on is Harrington way.,"51.4943635093,0.0427569967041"
"The Charlton House Mulberry, one of the Great Trees of London, was planted in 1601. Enter the park from Charlton Road, and the tree is on the left, ten yards from the entrance, behind a toilet block.","51.4793976032,0.0383523789648"
"Great little addition to Roman Road. Good selection of primarily Italian wines, with a few other old world styles. Also has some great nibbles and a small selection of local beers ( kernel, etc.)","51.5326076006,-0.0311132297432"
"On this historic open space on the London road to Dover, John Ball addressed the revolting peasants in 1381 with the words, ‘When Adam delved and Eve span, who then was the gentleman?’","51.4689801875,0.00776767730713"
"Good shortcut from Asda to Manchester Road, but not fully illuminated at night.","51.4916677107,-0.00947049910378"
"Cheap/affordable menu, pancakes are a bit small but enjoyable. Gets quite busy at the weekend but a lovely brunch addition to Roman Road.","51.5319107004,-0.0352051339701"
Impossible to find from the main road. Look for signs for the gallery just beside the church (between church and bus stop) and turn in.,"51.5290326145,-0.0178915234045"
Great of road biking,"51.5583965425,0.0282382965088"
Try the Indian down the road. Opposite the petrol station.,"51.4770823435,0.267698286678"
"Made famous, of course, by The Beatles. Don't forget to walk over the crossing and savour the moment.","51.5323712101,-0.177778778339"
Much better than the spots on kingsland road.,"51.4962243039,-0.0411844776546"
Best coffee on Roman Road,"51.5314604438,-0.0376371526698"
The doctors always have time to talk with you. The reception staff are very friendly and helpful.,"51.4623791583,0.00942504566569"
The fruit/veg stalls opposite the sun deck in Burghley Road (selling fruit/veg in plastic bowls) add some colour to the view and are open 7 days a week,"51.567846835,0.0105510487394"
"Canal on the bow road side of Victoria park, lovely setting looking down the canal during autumn","51.5368063414,-0.0371217727661"
"New focus from Guy Awford on the upstairs restaurant (used to run Inside which was down the road, and also runs Hand Made Food in Blackheath). Downstairs food good too","51.4744059699,-0.0149608137813"
Good for the blockbusters. Anything else go to Picturehouse over the road.,"51.5435255028,-0.00651244155507"
Lovely hotel very close to the 02 so perfect for if your catching something there. Also just up the road is a great pub called The Pilot! :-),"51.4921254798,0.00926078354819"
Had the Roast beef.. asked for it pink. I've had pinker and more tender leather shoes. The Northbrook down the road has better food,"51.4530797599,-0.000357694213527"
"The place is overlooked. It is on the busy road but it is cozy, trendy and quiet. Breakfast selection is amazing and tastes good, from full English breakfast to vegetarian options. Wifi is available.","51.5132011371,-0.0429813436866"
this is a great pub has an outside seating area for all the smokers. caters for kids too. food an drink deals from £5.  Turn left out of ilford station cross over the road and walk for about five mins,"51.5618263895,0.0687866376881"
Sorry Beatles fans. This is not THAT Abbey Road!,"51.5324693816,0.00371617415676"
London's biggest and best music venue ... 10 minutes down the road from us is also a bonus,"51.5029737935,0.00409617445395"
fairly chilled pub round the back of Chatsworth Road - formally known as The Eclipse,"51.5535298808,-0.0469830051351"
"The club was formed by merger in 1992 but descends from amateur clubs which date back to 1881. Victoria Road’s attendance record of 7,200 was set when Dagenham hosted Reading in the 1967 FA Cup.","51.5474733172,0.160230822919"
The best Vietnamese food I've had in the UK. Ban Cuon is a must. Kingsland road does not come close.,"51.4889912919,-0.0404518807723"
"If you love Meantime and you hate tourists then this is the Greenwich pub for you. Tucked away up a Greenwich side road, this cosy pub has great food, and better beer.","51.4765870028,-0.00984179711485"
"Fantastic fruit, and veg! Much cheaper than Sainsbury's just up the road!","51.593456,0.02500154"
"If you were thinking about going to Gordon Ramsay's ""The Narrow"" down the road, think again! And once you have come to your senses, head straight to The Grapes to find the coziest of riverside pubs.","51.5088799722,-0.0338766053863"
Check where the trains going before jumping on it. Not all roads lead to Deptford?!!,"51.4898894312,0.0692224502563"
"My favourite place in the East End. Great food, awesome staff, a good pint and the crowd is always chilled and friendly. An absolute gem hidden down a quiet suburban road.","51.5279079433,-0.0309351400684"
Lovely coffee on the sunny side of the road. Best Belgian Earl Grey chocolate in stock!,"51.5533305066,-0.0446996102251"
Don't bother at the weekends trains hardly run due to repairs on the line grab a bus to Stratford (25 or 86 from Romford Road),"51.5493171401,0.0234401839727"
A far superior experience to Tesco over the road.  Quieter.  Better stocked.  Nicer staff.,"51.5218547583,0.0666485192232"
Rail replacement buses depart from TfL Bus Stops A & B on the corner of Wennington Road near the Post Office.,"51.5167156434,0.19076116873"
Much better than the Tesco express down the road 😜,"51.4854043918,0.00588530895147"
Main road in crayford between mcdonalds and the new apartments has closed due to water main burst. To get to retail park no problem from dartford but from bexley area you will have to go on a2,"51.450784292,0.181678021712"
Used to be good; now it's very middle of the road and what is with the exterior decorating; that's not doing them any favours!,"51.5290163971,-0.0383335082277"
Owner can be a bit mardy and they don't make anything on-site. Try Amandine down the road instead.,"51.5380170787,-0.044778888599"
"If u want park upstairs don't follow the road left. Stay to the right and go up the ramp, there's more spaces...","51.5755353364,0.180221362645"
Taxi Rank at Montfitchet Road side of Westfields. Near Marks & Spencers,"51.5430844042,-0.00547269156777"
I thought this place was amazing until I tries noodle time across the road in Greenwich. That's the same price and 100% better service and respect to patrons!,"51.4814443916,-0.0100853525116"
Workers cafe just down the road beside the Buddhist centre is great value for money. Always seats available !,"51.5292079416,-0.0466047320613"
"The Friendly staff went out of their way to be helpful, it made the real difference compared to the mitre down the road. Pub of choice for me now.","51.4784779843,-0.0115764141083"
"Best coffee in Wanstead, no need to check out the Starbucks across the road!","51.5769536517,0.027297224852"
Great pub for big groups and small groups alike. There's loads of space outdoors and a bar and BBQ in the garden during summer too. The food was expensive so I wandered down the road for fish & chips.,"51.5415732188,-0.0379598919565"
Jake's burgers over the road are legendary,"51.5640259241,0.0971174240112"
"Exit only fron Romford road, vehicle acces from side street.","51.5464498076,0.0279719545412"
For the best real ale on Old Ford Road visit The Eleanor Arms.,"51.5351667233,-0.0337398688164"
"If you are approaching the north access, be really careful you don't miss the left filter for the pier on the A117.  Road signs here are rubbish.","51.4961868859,0.0622272491455"
Very busy when events are held at Viccy Park. Free to use ATM at Budgens across the road,"51.5253068793,-0.0334587794533"
Ok for ibis cafe across the road does full English 4.95,"51.5078892836,0.0224992847522"
If you satnav cannot find the Brewery. Type in Waterloo Road RM1 to find the car park entry road.,"51.576292186,0.180374698835"
"No access to the hotel from Rowhill Road, make sure you enter via Top Dartford Road.","51.4180989652,0.188872268764"
"Don't forget the bus stop on the other side of the road, not all the buses stop inside the station.","51.5757611676,0.0899570684775"
I have heard today that this Tescos will be demolished next year as part of the redevelopment of the area.  A new road going right through it!!!,"51.5268928999,-0.00997479808788"
